Date,Pool,Action,Token A Symbol,Token A Amount,Token A Price (USD),Token B Symbol,Token B Amount,Token B Price (USD),Total USD Value,Fees Collected (USD),Fees Collected (Token A),Fees Collected (Token B),Auto-Compound Harvested (Token A),Auto-Compound Harvested (Token B),Auto-Compound Redeposited (Token A),Auto-Compound Redeposited (Token B),Auto-Compound Leftover (Token A),Auto-Compound Leftover (Token B),Realized PnL (USD),Cost Basis (USD),Position Address,Pool Address,Transaction
2026-07-22T06:45:56.000Z,SOL/USDC,Open Position,SOL,0.169360525,77.171085,USDC,9.863509,0.999880,22.93,0.00,0,0,,,,,,,0.00,22.93,AzFojBz21eS3zeQhSnkvEtX5hyghEAoPfeTrw5BpZCis,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,52Nt5xsYEH1Lh2tpiQ3Mxm8mdEaGnAzFZn4WackD6r3CktQxEMhdp9zMJ6kRxP2zwH4qfkkTzvw52b9CyC84skuP
2026-07-21T19:56:03.000Z,SOL/USDC,Close Position,SOL,0.164367496,77.673423,USDC,23.323874,0.999900,36.09,0.21,0.00131637,0.10345,,,,,,,0.23,0.00,D9CbRAuCKQSDXH3oa2zRTbP2zgLX5qQFZjqhUr59x5Cb,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,2mTXCqXRLuEWuAgjYnPHu9woFV8raDRExZ8mLDrD68eXnvUJ2RH5CLFKs71DQJMHKnb5hTVxYBJyYEbPhsWYfqfo
2026-07-21T16:52:59.000Z,SOL/USDC,Collect Fees,SOL,0.000379768,78.125060,USDC,0.029435,0.999897,0.06,0.18,0.001165892,0.09381,,,,,,,0.18,36.04,D9CbRAuCKQSDXH3oa2zRTbP2zgLX5qQFZjqhUr59x5Cb,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,uh6gPxpjGqq9hUpS6PD5h5wnPVLDvgLXhh2AHwPbmdhmru3e9zKcVmg6gmna42cea1FFrGwvXwG1juWqb9Qjj86
2026-07-21T09:04:40.000Z,SOL/USDC,Collect Fees,SOL,0.000786124,78.183996,USDC,0.064375,1.000000,0.13,0.13,0.000786124,0.064375,,,,,,,0.13,36.04,D9CbRAuCKQSDXH3oa2zRTbP2zgLX5qQFZjqhUr59x5Cb,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,4j1HexzgnF8PcmDrq6GSGdrcnZMfHabrdk9L3y22mFYiz4dG8egj6vzwwYBzTnhQAeoYtMRKFCGJYonAz2PSEZVH
2026-07-20T19:38:14.000Z,SOL/USDC,Increase Liquidity,SOL,0.022583152,77.332763,USDC,1.762862,0.999780,3.51,0.00,0,0,,,,,,,0.00,36.04,D9CbRAuCKQSDXH3oa2zRTbP2zgLX5qQFZjqhUr59x5Cb,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,3QpGzG3yyj2orsY2nQxgu8pWfvdCv3JNxf3qzFtU5cvg5UYr4CJNbySWtb6n4XEWRrAf5kgTUfGxswv5iMB31k1U
2026-07-20T17:12:20.000Z,SOL/USDC,Open Position,SOL,0.169145159,77.580000,USDC,19.416093,0.999790,32.53,0.00,0,0,,,,,,,0.00,32.53,D9CbRAuCKQSDXH3oa2zRTbP2zgLX5qQFZjqhUr59x5Cb,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,43jMPu766WLmNQhHnvEb8qYuswAytSEcxPyD7CTSRCXfo16gtYfBmK5Gg7oJs9YsnNfDt8UgzVENpVd8PQM5j1Jd
2026-07-20T16:58:11.000Z,SOL/USDC,Close Position,SOL,0.000729302,77.630000,USDC,24.552391,0.999810,24.60,0.19,0.001194925,0.096109,,,,,,,0.32,0.00,8q51HQrsPN5xEMYSqC5KswLK1WwMoqrHnAsHxxrQ4Hkf,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,gpobwFAujDMP9L1SDB3BacYqTLnRKrZMUmHctczei1H2SJeWU5sEcWFrC1NdybTdQjaLBhLPfvcQE3Nw2vXjuc1
2026-07-20T07:39:08.000Z,SOL/USDC,Increase Liquidity,SOL,0.03409163,75.863473,USDC,2.659398,0.999802,5.25,0.07,0.000465623,0.037676,,,,,,,0.07,24.36,8q51HQrsPN5xEMYSqC5KswLK1WwMoqrHnAsHxxrQ4Hkf,Czfq3xZZDmsdGdUyrNLtRhGc47cXcZtLG4crryfu44zE,2R7e7pJGMr3dXr849b3ud8VWHezdvvscPw8tmNdgvEqmk2W5TWHDZMQSLd3SRdDBD2nWb6ugBXkCqQZdzRRN1yFf
2026-07-20T07:37:40.000Z,cbBTC/USDC,Close Position,cbBTC,0.00003529,64073.977251,USDC,2.986039,0.999803,5.25,0.00,0.00000001,0.000919,,,,,,,-0.00,0.00,kJXPh1L65diJNSBqDmZGfk3XnSFJhc4gNo8LV43NeeR,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,3q2i6BAkVT9AXzavF7L3bqCVZW99365aEH4DBVtPh7X4vPk1kr3UxGyRjcwjUZAXxaCESTPvLaMnyRwkDteRWha4
2026-07-20T05:44:36.000Z,cbBTC/USDC,Open Position,cbBTC,0.00003203,64195.352753,USDC,3.193803,0.999770,5.25,0.00,0,0,,,,,,,0.00,5.25,kJXPh1L65diJNSBqDmZGfk3XnSFJhc4gNo8LV43NeeR,HxA6SKW5qA4o12fjVgTpXdq2YnZ5Zv1s7SB4FFomsyLM,3QuzK3d3hPVGD7kbc9h722x4eejkkaFEQU85BGcHSmwDDvKqMTbFxmW3ZnyCaL6p5kackVUPEfkQFgLF7cK9xH8R
